index,ts,open,high,low,close,vol
216,2025-08-14 19:00:00,118089.75,118535.0,117920.0,117945.92,688.76991
217,2025-08-14 20:00:00,117945.92,118146.55,117724.37,117866.16,595.56886
218,2025-08-14 21:00:00,117866.16,118199.99,117302.33,117899.16,723.48169
219,2025-08-14 22:00:00,117899.16,118349.01,117641.4,118285.46,363.07143
220,2025-08-14 23:00:00,118285.47,118516.81,118239.68,118295.09,442.73026
221,2025-08-15 00:00:00,118295.09,118473.18,118032.94,118181.97,387.64196
222,2025-08-15 01:00:00,118181.98,118736.0,118032.32,118681.64,473.85001
223,2025-08-15 02:00:00,118681.63,118888.0,118584.2,118698.0,549.41556
224,2025-08-15 03:00:00,118698.0,119077.71,118604.41,118968.91,472.64683
225,2025-08-15 04:00:00,118968.91,119199.2,118770.0,118833.03,497.50906
226,2025-08-15 05:00:00,118833.04,119000.0,118629.58,118984.29,360.89875
227,2025-08-15 06:00:00,118984.29,119216.82,118866.01,119082.82,411.99414
228,2025-08-15 07:00:00,119082.83,119100.0,118758.8,118956.45,462.50496
229,2025-08-15 08:00:00,118956.45,119144.5,118878.71,118878.72,251.38068
230,2025-08-15 09:00:00,118878.72,119058.94,118600.0,118707.99,299.88114
231,2025-08-15 10:00:00,118708.0,119026.53,118708.0,118879.83,283.78706
232,2025-08-15 11:00:00,118879.82,119121.31,118879.82,119006.01,294.77719
233,2025-08-15 12:00:00,119006.01,119130.77,118510.0,118648.66,647.85118
234,2025-08-15 13:00:00,118648.66,118738.0,117743.21,117770.48,1302.10489
235,2025-08-15 14:00:00,117770.47,118274.0,117260.0,117400.0,1176.80402
236,2025-08-15 15:00:00,117400.0,117588.68,116827.29,117275.22,2002.13351
237,2025-08-15 16:00:00,117275.23,117418.49,116803.99,117353.36,756.28175
238,2025-08-15 17:00:00,117353.36,117882.35,117000.0,117586.92,862.91559
239,2025-08-15 18:00:00,117586.92,117662.41,117028.98,117159.66,333.40859
240,2025-08-15 19:00:00,117159.65,117412.82,116866.0,116936.27,440.85496
241,2025-08-15 20:00:00,116936.28,117323.47,116862.5,117280.0,248.37175
242,2025-08-15 21:00:00,117280.01,117350.0,117000.0,117320.02,268.99006
243,2025-08-15 22:00:00,117320.01,117738.57,117302.65,117702.0,374.66043
244,2025-08-15 23:00:00,117701.99,117761.88,117036.53,117342.05,462.67467
245,2025-08-16 00:00:00,117342.04,117781.99,117231.14,117735.21,546.22017
246,2025-08-16 01:00:00,117735.2,117898.99,117626.31,117821.6,349.62497
247,2025-08-16 02:00:00,117821.61,117821.61,117440.74,117505.51,307.50607
